"document","topic","gamma"
"1939:Of Mice and Men",11,0.001
"1939:Of Mice and Men",12,0.001
"1939:Of Mice and Men",13,0.001
"1939:Of Mice and Men",14,0.001
"1939:Of Mice and Men",15,0.001
"1939:Of Mice and Men",16,0.001
"1939:Of Mice and Men",17,0.165
"1939:Of Mice and Men",18,0.001
"1939:Of Mice and Men",19,0.208
"1939:Of Mice and Men",20,0.001
"1939:Of Mice and Men",21,0.001
"1939:Of Mice and Men",22,0.035
"1939:Of Mice and Men",23,0.001
"1939:Of Mice and Men",24,0.001
"1939:Of Mice and Men",25,0.001
"1939:Of Mice and Men",26,0.001
"1939:Of Mice and Men",27,0.354
"1939:Of Mice and Men",28,0.009
"1939:Of Mice and Men",29,0.001
"1939:Of Mice and Men",30,0.001
"1939:Of Mice and Men",31,0.001
"1939:Of Mice and Men",32,0.001
"1939:Of Mice and Men",33,0.001
"1939:Of Mice and Men",34,0.009
"1939:Of Mice and Men",35,0.001
"1939:Of Mice and Men",36,0.053
"1939:Of Mice and Men",37,0.001
"1939:Of Mice and Men",38,0.001
"1939:Of Mice and Men",39,0.001
"1939:Of Mice and Men",40,0.001
"1939:Of Mice and Men",41,0.001
"1939:Of Mice and Men",42,0.001
"1939:Of Mice and Men",43,0.053
"1939:Of Mice and Men",44,0.001
"1939:Of Mice and Men",45,0.001
"1939:Of Mice and Men",46,0.027
"1939:Of Mice and Men",47,0.001
"1939:Of Mice and Men",48,0.001
"1939:Of Mice and Men",49,0.001
"1939:Of Mice and Men",50,0.009
"1939:Stagecoach",1,0.017
"1939:Stagecoach",2,0.017
"1939:Stagecoach",3,0.017
"1939:Stagecoach",4,0.017
"1939:Stagecoach",5,0.017
"1939:Stagecoach",6,0.017
"1939:Stagecoach",7,0.017
"1939:Stagecoach",8,0.017
"1939:Stagecoach",9,0.017
"1939:Stagecoach",10,0.017
"1939:Stagecoach",11,0.017
"1939:Stagecoach",12,0.017
"1939:Stagecoach",13,0.017
"1939:Stagecoach",14,0.017
"1939:Stagecoach",15,0.017
"1939:Stagecoach",16,0.017
"1939:Stagecoach",17,0.017
"1939:Stagecoach",18,0.017
"1939:Stagecoach",19,0.017
"1939:Stagecoach",20,0.017
"1939:Stagecoach",21,0.183
"1939:Stagecoach",22,0.017
"1939:Stagecoach",23,0.017
"1939:Stagecoach",24,0.017
"1939:Stagecoach",25,0.017
"1939:Stagecoach",26,0.017
"1939:Stagecoach",27,0.017
"1939:Stagecoach",28,0.017
"1939:Stagecoach",29,0.017
"1939:Stagecoach",30,0.017
"1939:Stagecoach",31,0.017
"1939:Stagecoach",32,0.017
"1939:Stagecoach",33,0.017
"1939:Stagecoach",34,0.017
"1939:Stagecoach",35,0.017
"1939:Stagecoach",36,0.017
"1939:Stagecoach",37,0.017
"1939:Stagecoach",38,0.017
"1939:Stagecoach",39,0.017
"1939:Stagecoach",40,0.017
"1939:Stagecoach",41,0.017
"1939:Stagecoach",42,0.017
"1939:Stagecoach",43,0.017
"1939:Stagecoach",44,0.017
"1939:Stagecoach",45,0.017
"1939:Stagecoach",46,0.017
"1939:Stagecoach",47,0.017
"1939:Stagecoach",48,0.017
"1939:Stagecoach",49,0.017
"1939:Stagecoach",50,0.017
"1939:The Wizard of Oz",1,0
"1939:The Wizard of Oz",2,0.019
"1939:The Wizard of Oz",3,0
"1939:The Wizard of Oz",4,0.019
"1939:The Wizard of Oz",5,0.074
"1939:The Wizard of Oz",6,0
"1939:The Wizard of Oz",7,0
"1939:The Wizard of Oz",8,0
"1939:The Wizard of Oz",9,0.023
"1939:The Wizard of Oz",10,0.347
"1939:The Wizard of Oz",11,0
"1939:The Wizard of Oz",12,0
"1939:The Wizard of Oz",13,0
"1939:The Wizard of Oz",14,0
"1939:The Wizard of Oz",15,0.014
