"","topic","term","beta"
"700",50,"admit",3.19877167167808e-05
"701",1,"apart",3.39420270178535e-05
"702",2,"apart",3.55973230813043e-05
"703",3,"apart",0.00131742095474271
"704",4,"apart",0.00416129410385652
"705",5,"apart",7.59762953958366e-05
"706",6,"apart",0.0042134070340866
"707",7,"apart",3.87867504460476e-05
"708",8,"apart",8.37380673254062e-05
"709",9,"apart",4.96228662167527e-05
"710",10,"apart",1.4404655584685e-05
"711",11,"apart",4.16805601867289e-05
"712",12,"apart",2.72985367984276e-05
"713",13,"apart",7.08616780045352e-05
"714",14,"apart",3.86966953022212e-05
"715",15,"apart",1.18312392039942e-05
"716",16,"apart",0.0139324433294508
"717",17,"apart",6.29247420085578e-05
"718",18,"apart",0.00340737001514387
"719",19,"apart",3.99329127066528e-05
"720",20,"apart",3.89985180563139e-05
"721",21,"apart",0.00252951096121417
"722",22,"apart",0.00914175909895169
"723",23,"apart",0.00510253433933063
"724",24,"apart",3.64936865922195e-05
"725",25,"apart",5.78302105019663e-05
"726",26,"apart",4.77281405116457e-05
"727",27,"apart",1.79849645696198e-05
"728",28,"apart",6.20655412115193e-05
"729",29,"apart",2.22756838634946e-05
"730",30,"apart",7.21917412647994e-05
"731",31,"apart",5.6554688383667e-05
