"","document","topic","gamma"
"491","1939:Wuthering Heights",41,0.017
"492","1939:Wuthering Heights",42,0.017
"493","1939:Wuthering Heights",43,0.017
"494","1939:Wuthering Heights",44,0.017
"495","1939:Wuthering Heights",45,0.017
"496","1939:Wuthering Heights",46,0.017
"497","1939:Wuthering Heights",47,0.017
"498","1939:Wuthering Heights",48,0.017
"499","1939:Wuthering Heights",49,0.017
"500","1939:Wuthering Heights",50,0.017
"501","1940:All This, and Heaven Too",1,0.014
"502","1940:All This, and Heaven Too",2,0.014
"503","1940:All This, and Heaven Too",3,0.014
"504","1940:All This, and Heaven Too",4,0.014
"505","1940:All This, and Heaven Too",5,0.157
"506","1940:All This, and Heaven Too",6,0.014
"507","1940:All This, and Heaven Too",7,0.014
"508","1940:All This, and Heaven Too",8,0.014
"509","1940:All This, and Heaven Too",9,0.014
"510","1940:All This, and Heaven Too",10,0.014
"511","1940:All This, and Heaven Too",11,0.157
"512","1940:All This, and Heaven Too",12,0.014
"513","1940:All This, and Heaven Too",13,0.014
"514","1940:All This, and Heaven Too",14,0.014
"515","1940:All This, and Heaven Too",15,0.014
"516","1940:All This, and Heaven Too",16,0.014
"517","1940:All This, and Heaven Too",17,0.014
"518","1940:All This, and Heaven Too",18,0.014
"519","1940:All This, and Heaven Too",19,0.014
"520","1940:All This, and Heaven Too",20,0.014
"521","1940:All This, and Heaven Too",21,0.014
"522","1940:All This, and Heaven Too",22,0.014
"523","1940:All This, and Heaven Too",23,0.014
"524","1940:All This, and Heaven Too",24,0.014
"525","1940:All This, and Heaven Too",25,0.014
"526","1940:All This, and Heaven Too",26,0.014
"527","1940:All This, and Heaven Too",27,0.014
"528","1940:All This, and Heaven Too",28,0.014
"529","1940:All This, and Heaven Too",29,0.014
"530","1940:All This, and Heaven Too",30,0.014
"531","1940:All This, and Heaven Too",31,0.014
"532","1940:All This, and Heaven Too",32,0.014
"533","1940:All This, and Heaven Too",33,0.014
"534","1940:All This, and Heaven Too",34,0.014
"535","1940:All This, and Heaven Too",35,0.014
"536","1940:All This, and Heaven Too",36,0.014
"537","1940:All This, and Heaven Too",37,0.014
"538","1940:All This, and Heaven Too",38,0.014
"539","1940:All This, and Heaven Too",39,0.014
"540","1940:All This, and Heaven Too",40,0.014
"541","1940:All This, and Heaven Too",41,0.014
"542","1940:All This, and Heaven Too",42,0.014
"543","1940:All This, and Heaven Too",43,0.014
"544","1940:All This, and Heaven Too",44,0.014
"545","1940:All This, and Heaven Too",45,0.014
"546","1940:All This, and Heaven Too",46,0.014
"547","1940:All This, and Heaven Too",47,0.014
"548","1940:All This, and Heaven Too",48,0.014
"549","1940:All This, and Heaven Too",49,0.014
"550","1940:All This, and Heaven Too",50,0.014
"551","1940:Foreign Correspondent",1,0.001
"552","1940:Foreign Correspondent",2,0.001
"553","1940:Foreign Correspondent",3,0.135
"554","1940:Foreign Correspondent",4,0.001
"555","1940:Foreign Correspondent",5,0.001
"556","1940:Foreign Correspondent",6,0.001
"557","1940:Foreign Correspondent",7,0.011
"558","1940:Foreign Correspondent",8,0.001
"559","1940:Foreign Correspondent",9,0.001
"560","1940:Foreign Correspondent",10,0.109
"561","1940:Foreign Correspondent",11,0.001
"562","1940:Foreign Correspondent",12,0.001
"563","1940:Foreign Correspondent",13,0.001
"564","1940:Foreign Correspondent",14,0.001
"565","1940:Foreign Correspondent",15,0.001
"566","1940:Foreign Correspondent",16,0.001
"567","1940:Foreign Correspondent",17,0.026
"568","1940:Foreign Correspondent",18,0.001
"569","1940:Foreign Correspondent",19,0.006
"570","1940:Foreign Correspondent",20,0.021
"571","1940:Foreign Correspondent",21,0.001
"572","1940:Foreign Correspondent",22,0.001
"573","1940:Foreign Correspondent",23,0.001
"574","1940:Foreign Correspondent",24,0.006
"575","1940:Foreign Correspondent",25,0.001
"576","1940:Foreign Correspondent",26,0.001
"577","1940:Foreign Correspondent",27,0.032
"578","1940:Foreign Correspondent",28,0.001
"579","1940:Foreign Correspondent",29,0.001
"580","1940:Foreign Correspondent",30,0.001
"581","1940:Foreign Correspondent",31,0.001
"582","1940:Foreign Correspondent",32,0.058
"583","1940:Foreign Correspondent",33,0.001
"584","1940:Foreign Correspondent",34,0.001
"585","1940:Foreign Correspondent",35,0.001
"586","1940:Foreign Correspondent",36,0.001
"587","1940:Foreign Correspondent",37,0.001
"588","1940:Foreign Correspondent",38,0.001
"589","1940:Foreign Correspondent",39,0.001
"590","1940:Foreign Correspondent",40,0.104
"591","1940:Foreign Correspondent",41,0.001
"592","1940:Foreign Correspondent",42,0.016
"593","1940:Foreign Correspondent",43,0.182
"594","1940:Foreign Correspondent",44,0.001
"595","1940:Foreign Correspondent",45,0.151
"596","1940:Foreign Correspondent",46,0.125
"597","1940:Foreign Correspondent",47,0.001
"598","1940:Foreign Correspondent",48,0.001
"599","1940:Foreign Correspondent",49,0.001
"600","1940:Foreign Correspondent",50,0.001
"601","1940:Kitty Foyle",1,0.017
"602","1940:Kitty Foyle",2,0.017
"603","1940:Kitty Foyle",3,0.017
"604","1940:Kitty Foyle",4,0.017
"605","1940:Kitty Foyle",5,0.017
"606","1940:Kitty Foyle",6,0.017
"607","1940:Kitty Foyle",7,0.017
"608","1940:Kitty Foyle",8,0.017
"609","1940:Kitty Foyle",9,0.017
"610","1940:Kitty Foyle",10,0.017
"611","1940:Kitty Foyle",11,0.017
"612","1940:Kitty Foyle",12,0.017
"613","1940:Kitty Foyle",13,0.017
"614","1940:Kitty Foyle",14,0.017
"615","1940:Kitty Foyle",15,0.017
"616","1940:Kitty Foyle",16,0.017
"617","1940:Kitty Foyle",17,0.017
"618","1940:Kitty Foyle",18,0.017
"619","1940:Kitty Foyle",19,0.017
"620","1940:Kitty Foyle",20,0.017
"621","1940:Kitty Foyle",21,0.183
"622","1940:Kitty Foyle",22,0.017
"623","1940:Kitty Foyle",23,0.017
"624","1940:Kitty Foyle",24,0.017
"625","1940:Kitty Foyle",25,0.017
"626","1940:Kitty Foyle",26,0.017
"627","1940:Kitty Foyle",27,0.017
"628","1940:Kitty Foyle",28,0.017
"629","1940:Kitty Foyle",29,0.017
"630","1940:Kitty Foyle",30,0.017
"631","1940:Kitty Foyle",31,0.017
"632","1940:Kitty Foyle",32,0.017
"633","1940:Kitty Foyle",33,0.017
"634","1940:Kitty Foyle",34,0.017
"635","1940:Kitty Foyle",35,0.017
"636","1940:Kitty Foyle",36,0.017
"637","1940:Kitty Foyle",37,0.017
"638","1940:Kitty Foyle",38,0.017
"639","1940:Kitty Foyle",39,0.017
"640","1940:Kitty Foyle",40,0.017
"641","1940:Kitty Foyle",41,0.017
"642","1940:Kitty Foyle",42,0.017
"643","1940:Kitty Foyle",43,0.017
"644","1940:Kitty Foyle",44,0.017
"645","1940:Kitty Foyle",45,0.017
"646","1940:Kitty Foyle",46,0.017
"647","1940:Kitty Foyle",47,0.017
"648","1940:Kitty Foyle",48,0.017
"649","1940:Kitty Foyle",49,0.017
"650","1940:Kitty Foyle",50,0.017
"651","1940:Our Town",1,0
"652","1940:Our Town",2,0.005
"653","1940:Our Town",3,0
"654","1940:Our Town",4,0
"655","1940:Our Town",5,0
"656","1940:Our Town",6,0
"657","1940:Our Town",7,0
"658","1940:Our Town",8,0
"659","1940:Our Town",9,0.01
"660","1940:Our Town",10,0
"661","1940:Our Town",11,0.007
"662","1940:Our Town",12,0.003
"663","1940:Our Town",13,0
"664","1940:Our Town",14,0
"665","1940:Our Town",15,0.042
"666","1940:Our Town",16,0
