"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","...52"
"35","1942:Mrs. Miniver",0,0,0.004,0,0,0.015,0.025,0,0,0,0,0.007,0,0.032,0,0.018,0.022,0.007,0.036,0.011,0,0,0.011,0,0,0.004,0,0,0.139,0.004,0.039,0,0.007,0.163,0,0,0.015,0,0,0,0,0.16,0,0,0.007,0.178,0,0,0,0.085,2
"36","1942:Random Harvest",0.001,0.001,0.001,0.001,0.017,0.152,0.001,0.001,0.001,0.056,0.001,0.001,0.001,0.001,0.009,0.001,0.009,0.001,0.16,0.001,0.001,0.001,0.001,0.001,0.001,0.017,0.001,0.001,0.001,0.001,0.017,0.001,0.001,0.088,0.025,0.001,0.001,0.001,0.001,0.072,0.001,0.001,0.001,0.001,0.152,0.001,0.001,0.199,0.001,0.001,16
"37","1942:The Magnificent Ambersons",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"38","1942:The Ox-Bow Incident",0,0,0,0,0,0.015,0.015,0,0,0.048,0.057,0.052,0,0,0.019,0,0.067,0.015,0.128,0,0,0,0,0,0,0.043,0.184,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,0.024,0.067,0.01,0,0.029,0,0.015,6
"39","1942:The Pied Piper",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"40","1942:The Pride of the Yankees",0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.048,0.004,0.004,0.004,0.004,0.004,0.135,0.004,0.048,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.135,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.048,0.004,0.004,0.004,0.004,0.004,0.091,0.309,0.004,19
"41","1942:The Talk of the Town",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"42","1942:Wake Island",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.033,0.006,0.001,0.001,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.077,0.001,0.31,0.006,0.077,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.245,0.001,0.006,0.011,0.001,0.174,0.001,0.006,0.001,5
"43","1942:Yankee Doodle Dandy",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"44","1943:For Whom the Bell Tolls",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
